offline_datapoint_11 1631554429 32647,000
offline_datapoint_5 1631554429 3702,000
offline_datapoint_18 1631554427 58,402
offline_datapoint_27 1631554429 390914048,000
offline_datapoint_14 1631554429 361512960,000
offline_datapoint_3 1631554429 12165697536,000
offline_datapoint_9 1631554429 217661440,000
offline_datapoint_26 1631554429 1306,000
offline_datapoint_20 1631554427 3431,855
offline_datapoint_8 1631554427 44526,824
offline_datapoint_22 1631554429 217661440,000
offline_datapoint_1 1631554427 623,398
offline_datapoint_21 1631554429 8702722048,000
offline_datapoint_7 1631554429 9873321984,000
offline_datapoint_6 1631554427 0,195
offline_datapoint_12 1631554427 29,264
offline_datapoint_25 1631554427 17,114
offline_datapoint_13 1631554427 23433,575
offline_datapoint_19 1631554429 0,000
offline_datapoint_0 1631554427 33166,383
offline_datapoint_16 1631554427 4463,078
offline_datapoint_29 1631554427 562,868
offline_datapoint_17 1631554427 523,774
offline_datapoint_10 1631554427 84,092
offline_datapoint_30 1631554427 3,998
offline_datapoint_23 1631554427 26645,170
offline_datapoint_4 1631554427 5,629
offline_datapoint_11 1631554432 32647,000
offline_datapoint_5 1631554432 3794,000
offline_datapoint_18 1631554430 58,433
offline_datapoint_27 1631554432 391045120,000
offline_datapoint_14 1631554432 359428096,000
offline_datapoint_3 1631554432 12172214272,000
offline_datapoint_9 1631554432 219340800,000
offline_datapoint_26 1631554432 1206,000
offline_datapoint_20 1631554430 762,877
offline_datapoint_8 1631554430 16351,179
offline_datapoint_22 1631554432 219340800,000
offline_datapoint_1 1631554430 169,380
offline_datapoint_21 1631554432 8719241216,000
offline_datapoint_7 1631554432 9984700416,000
offline_datapoint_6 1631554430 0,130
offline_datapoint_12 1631554430 9,801
offline_datapoint_25 1631554430 3,777
offline_datapoint_13 1631554430 14813,755
offline_datapoint_19 1631554432 0,000
offline_datapoint_0 1631554430 27694,976
offline_datapoint_16 1631554430 2679,406
offline_datapoint_29 1631554430 11,229
offline_datapoint_17 1631554430 265,073
offline_datapoint_10 1631554430 89,798
offline_datapoint_30 1631554430 7,335
offline_datapoint_23 1631554430 14974,229
