300 1631554427 0,114988 0,200000 0,114988 0,114988 0,002644
303 1631554427 0,000301 2,000000 0,000158 0,000898 0,000000
300 1631554428 0,114988 0,200000 0,114988 0,114988 0,002644
303 1631554428 0,000301 2,000000 0,000158 0,000898 0,000000
300 1631554429 0,114988 0,200000 0,114988 0,114988 0,002644
303 1631554429 0,000301 2,000000 0,000158 0,000898 0,000000
300 1631554430 0,114988 0,200000 0,114988 0,114988 0,002644
303 1631554430 0,000301 2,000000 0,000158 0,000898 0,000000
300 1631554431 0,114988 0,200000 0,114988 0,114988 0,002644
303 1631554431 0,000301 2,000000 0,000158 0,000898 0,000000
300 1631554432 0,096353 0,200000 0,096353 0,096353 0,001857
312 1631554432 0,118631 0,200000 0,118631 0,118631 0,002815
315 1631554432 0,112240 0,200000 0,112240 0,112240 0,002520
300 1631554433 0,096353 0,200000 0,096353 0,096353 0,001857
312 1631554433 0,118631 0,200000 0,118631 0,118631 0,002815
315 1631554433 0,112240 0,200000 0,112240 0,112240 0,002520
300 1631554434 0,096353 0,200000 0,096353 0,096353 0,001857
312 1631554434 0,118631 0,200000 0,118631 0,118631 0,002815
315 1631554434 0,112240 0,200000 0,112240 0,112240 0,002520
300 1631554435 0,096353 0,200000 0,096353 0,096353 0,001857
312 1631554435 0,118631 0,200000 0,118631 0,118631 0,002815
315 1631554435 0,112240 0,200000 0,112240 0,112240 0,002520
300 1631554436 0,096353 0,200000 0,096353 0,096353 0,001857
312 1631554436 0,118631 0,200000 0,118631 0,118631 0,002815
315 1631554436 0,112240 0,200000 0,112240 0,112240 0,002520
300 1631554437 0,092949 0,200000 0,092949 0,092949 0,001728
329 1631554437 0,070863 0,200000 0,070863 0,070863 0,001004
326 1631554437 0,062124 0,200000 0,062124 0,062124 0,000772
315 1631554437 0,111833 0,200000 0,111833 0,111833 0,002501
300 1631554438 0,092949 0,200000 0,092949 0,092949 0,001728
329 1631554438 0,070863 0,200000 0,070863 0,070863 0,001004
